X,Y,fid,OBJECTID,wm_ElementGuid,wmPhaseOrder,wmIsDead,wmBaseKv,wmIsModified,wmXCoordinate,wmNumberOfChildren,wmUplineFeeder,wmConsumerElementsDownline,wmProjectName,wmUplineDevice,wmUplineTransformer,wmPhasing,wmY2Coordinate,wmGraphicalLength,wmParent,wmYCoordinate,wmUplineElement,wmX2Coordinate,wmParentType,wmIsDeadC,wmIsDeadB,wmIsDeadA,wmUplineSource,wmUplineFeederNumber,wmType,wmMapName,wmUserTag,wmElementName,wmNumberOfPhases,wmNominalLLVoltage,wmNominalLGVoltage,wmSourceFeederColor,wmBusVoltage,wmSourceConnection,wmSubNumber,wmOHGroundOhms,wmSymbolRotation,wmSEDC_Districts_shp_Code,wmCounty_shp_Code,wmSubdivisions_shp_SUBDIVID,wmSEDC_Districts_shp_District,wmCounty_shp_NAME,wmBoardDist_shp_Code,wmGrid_shp_X,wmfire_shp_Action,wmSEDC_Districts_shp_Id,wmCounty_shp_Y,wmGrid_shp_OBJECTID,wmSchoolDist_shp_Action,wmROWZones2023_shp_Zone,Substation,icon_url
-91.1249875439842,39.2856387299571,"1","1",{E6F75C65-61C5-11EC-A707-309C23851011},ABC,false,7.19999980926514,false,643310.189594237,"1",,"692",2023-05-05 14.01.14.341,,,ABC,1257629.65901813,0,,1257629.65901813,,643310.189594237,,false,false,false,Cyrene T1,"0",Source,,,Cyrene T1,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"81",40,0,"21","04",,North N1,Pike,"41","2.16943135086e+006",,"0","1.43019210345e+007","1432",,"06",Cyrene ,./0.png
-91.1786225725735,38.9919010622221,"4","4",{8996C560-1E3D-11E4-BA4A-00268310384F},ABC,false,14.3999996185303,false,627329.238903459,"1",,"0",2023-05-05 14.01.14.341,,,ABC,1150756.94179722,0,,1150756.94179722,,627329.238903459,,false,false,false,Hawk Point T2,"0",Source,,,Hawk Point T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"0",40,0,"22","02",,North N2,Lincoln,"21","2.15793023167e+006",,"0","1.41870779034e+007","1254",,"05",Hawk Point,./0.png
-90.8363376891131,38.9373692247938,"5","5",{42F0BE61-13F5-4D85-A962-5F5E8F6A3930},ABC,false,14.3999996185303,false,724541.2015633,"1",,"2611",2023-05-05 14.01.14.341,,,ABC,1130353.808991,0,,1130353.808991,,724541.2015633,,false,false,false,Ethlyn T1,"0",Source,331_01,,Ethlyn T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"331",40,0,"21","02",,North N1,Lincoln,"23","2.25648939434e+006",,"0","1.41870779034e+007","1685",,"10",Ethlyn ,./0.png
-90.8758774260912,38.7480685759332,"6","6",{4E4E3703-D176-11E4-8944-54271EFBB461},ABC,false,14.3999996185303,false,713010.80293506,"1",,"3172",2023-05-05 14.01.14.341,,,ABC,1061456.37296595,0,,1061456.37296595,,713010.80293506,,false,false,false,New Melle T2,"0",Source,"40400015",,New Melle T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"0",40,0,"31","01",,South S1,St. Charles,"12","2.24546245156e+006",,"0","1.40806783913e+007","1841",,"02",New Melle,./0.png
-90.8958018193972,39.1423946047994,"8","8",{9AE4CD39-2C2D-4F20-9AF2-324DEBA7FB7D},ABC,false,14.3999996185303,false,707952.167814346,"1",,"2490",2023-05-05 14.01.14.341,,,ABC,1205092.32851427,0,,1205092.32851427,,707952.167814346,,false,false,false,New Hope T1,"0",Source,,,New Hope T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"151",40,0,"21","02",,North N1,Lincoln,"21","2.23956805239e+006",,"0","1.41870779034e+007","1332",,"07",New Hope,./0.png
-90.6527969104984,38.7552998848597,"9","9",{C3186E5D-F793-466D-8EEF-C2626ADF4466},ABC,false,14.3999996185303,false,776636.3408924,"1",,"2282",2023-05-05 14.01.14.341,,,ABC,1063905.96845,0,,1063905.96845,,776636.3408924,,false,false,false,Cottleville T1,"0",Source,,,Cottleville T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"491",40,0,"32","01",,South S2,St. Charles,"14","2.30927252099e+006",,"0","1.40806783913e+007","1780",,"01",Cottleville ,./0.png
-91.0113551782408,38.9879486139991,"14","14",{75621703-4B6A-472B-A359-2B58B5E8EBB9},ABC,false,14.3999996185303,false,674862.588281849,"1",,"2364",2023-05-05 14.01.14.341,,,ABC,1149006.69691183,0,,1149006.69691183,,674862.588281849,,false,false,false,Meister T1,"0",Source,,,Meister T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"251",40,0,"21","02",,North N1,Lincoln,"21","2.20801772975e+006",,"0","1.41870779034e+007","1662",,"08",Meister ,./0.png
-91.2114246498254,38.7288837856863,"15","15",{45F62E40-6870-4B00-A6D8-0B4CE749562D},ABC,false,7.19999980926514,false,617259.691153,"2",,"837",2023-05-05 14.01.14.341,,,ABC,1055038.136419,0,,1055038.136419,,617259.691153,,false,false,false,Pinckney T1,"0",Source,,,Pinckney T1,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"441",40,0,"22","03",,North N2,Warren,"32","2.14807386811e+006",,"0","1.40846158664e+007","1011",,"04",Pinckney ,./0.png
-90.9924545403701,38.7383109907338,"16","16",{0C449CE2-10F5-4821-891D-82939CEEFC22},ABC,false,14.3999996185303,false,679744.4761713,"1",,"3237",2023-05-05 14.01.14.341,,,ABC,1058060.664362,0,,1058060.664362,,679744.4761713,,false,false,false,Wright City T1,"0",Source,,,Wright City T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"461",40,0,"34","03",,South N2,Warren,"33","2.21333026557e+006",,"0","1.40846158664e+007","1136",,"03",Wright ,./0.png
-90.8147405692503,38.8690670850082,"18","18",{B9D562C0-44B8-4C30-A7F6-4FA788FBA140},ABC,false,14.3999996185303,false,730598.4375528,"1",,"1111",2023-05-05 14.01.14.341,,,ABC,1105456.636507,0,,1105456.636507,,730598.4375528,,false,false,false,Enon T1,"0",Source,,,Enon T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"403",40,0,"31","01",,South S1,St. Charles,"11","2.26071414460e+006",,"0","1.40806783913e+007","1755",,"10",Enon ,./0.png
-90.7895870069904,38.8006119512514,"20","20",{543F0794-2427-4880-8098-2DFB6126704B},ABC,false,7.19999980926514,false,737680.9206271,"1",,"1462",2023-05-05 14.01.14.341,,,ABC,1080502.2936,0,,1080502.2936,,737680.9206271,,false,false,false,LSL T1,"0",Source,,,LSL T1,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"401",40,0,"31","01","88",South S1,St. Charles,"13","2.27166176998e+006",,"0","1.40806783913e+007","579",,"01",LSL ,./0.png
-90.6996503985263,38.8389625725293,"21","21",{38CE46D1-42C6-4D5D-A80B-CC08F2729A88},ABC,false,14.3999996185303,false,763341.948642828,"1",,"2098",2023-05-05 14.01.14.341,,,ABC,1094400.4450587,0,,1094400.4450587,,763341.948642828,,false,false,false,OFallon T1,"0",Source,,,OFallon T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"411",40,0,"32","01",,South S2,St. Charles,"11","2.29300177045e+006",,"0","1.40806783913e+007","539",,"10",OFallon ,./0.png
-90.7761765894013,38.7656364053719,"22","22",{29AC7F05-A000-460C-988D-27026EE9A6B3},ABC,false,14.3999996185303,false,741464.2157232,"2",,"5233",2023-05-05 14.01.14.341,,,ABC,1067752.865162,0,,1067752.865162,,741464.2157232,,false,false,false,Dardenne T2,"0",Source,,,Dardenne T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"482",40,0,"31","01",,South S1,St. Charles,"12","0.00000000000e+000",,"0","1.40806783913e+007","1951",,"01",Dardenne ,./0.png
-90.8425209073266,38.9911405600952,"27","27",{388D8E62-42CC-46A6-95C8-E04F2A3E683A},ABC,false,14.3999996185303,false,722856.0869935,"1",,"3138",2023-05-05 14.01.14.341,,,ABC,1149943.756527,0,,1149943.756527,,722856.0869935,,false,false,false,Troy T2,"0",Source,,,Troy T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"262",40,0,"21","02",,North N1,Lincoln,"23","2.25083903439e+006",,"0","1.41870779034e+007","1283",,"09",Troy ,./0.png
-90.6277345882738,38.7275938199126,"29","29",{47741EB7-F66B-4F97-8AAB-51B4E4A43F0F},ABC,false,14.3999996185303,false,783769.13406,"1",,"2210",2023-05-05 14.01.14.341,,,ABC,1053804.964411,0,,1053804.964411,,783769.13406,,false,false,false,Kisker T4,"0",Source,,,Kisker T4,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"504",40,0,"32","01",,South S2,St. Charles,"15","2.31455764624e+006",,"0","1.40806783913e+007","1721",,"01",Kisker ,./0.png
-91.3092698262737,38.7706177568281,"31","31",{40D03B0C-0FF8-4F02-9F5D-41B0A29EC6BE},ABC,false,14.3999996185303,false,589481.294183,"1",,"940",2023-05-05 14.01.14.341,,,ABC,1070469.067558,0,,1070469.067558,,589481.294183,,false,false,false,Lost Creek T1,"0",Source,,,Lost Creek T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"431",40,0,"22","03",,North N2,Warren,"32","2.12115863287e+006",,"0","1.40846158664e+007","1001",,"04",Lost Creek,./0.png
-91.1419925019107,38.7297792184777,"32","32",{118EBBDA-AC59-482D-9B4E-09524F18020C},ABC,false,14.3999996185303,false,637069.174547842,"1",,"1676",2023-05-05 14.01.14.341,,,ABC,1055217.83591789,0,,1055217.83591789,,637069.174547842,,false,false,false,Charrette T1,"0",Source,,,Charrette T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"451",40,0,"34","03",,South N2,Warren,"33","2.17079659660e+006",,"0","1.40846158664e+007","525",,"03",Charrette ,./0.png
-90.8263351308822,38.7532156687063,"33","33",{3D733B56-B175-4721-8F95-5890E33B5938},ABC,false,14.3999996185303,false,727146.670840716,"1",,"2856",Hopwell Sub Cleanup,,,ABC,1063276.59172848,0,,1063276.59172848,,727146.670840716,,false,false,false,Hopewell T1,"0",Source,,,Hopewell T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"485",40,0,"31","01",,South S1,St. Charles,"12","2.26080901956e+006",,"0","1.40806783913e+007","1789",,"01",Hopewell ,./0.png
-90.8657290722722,39.0678821324393,"34","34",{C447DBE4-75E5-46A2-9B40-04B8DF59E90A},ABC,false,14.3999996185303,false,716372.1069906,"1",,"2167",2023-05-05 14.01.14.341,,,ABC,1177918.733257,0,,1177918.733257,,716372.1069906,,false,false,false,Brussels T1,"0",Source,,,Brussels T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"201",40,0,"21","02",,North N1,Lincoln,"22","2.24518209087e+006",,"0","1.41870779034e+007","1105",,"09",Brussels ,./0.png
-91.0117682331908,38.8780507510219,"35","35",{2162B748-7C83-4DAA-8A67-04CC892956DF},ABC,false,14.3999996185303,false,674520.4815725,"1",,"1625",2023-05-05 14.01.14.341,,,ABC,1108982.766134,0,,1108982.766134,,674520.4815725,,false,false,false,Big Creek T3,"0",Source,,,Big Creek T3,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"313",40,0,"22","02",,North N2,Lincoln,"23","2.20804136518e+006",,"0","1.41870779034e+007","1233",,"08",Big Creek,./0.png
